time,a_x,a_y,a_z,g_x,g_y,g_z,temp
2021-01-31T16:31:45.329147577Z,-1.517050,-0.660419,9.689735,2170.000000,293.125000,-2213.750000,10.562500
2021-01-31T16:31:45.345145720Z,-1.600798,-0.926022,10.716256,2791.250000,-1115.625000,-1006.250000,10.500000
2021-01-31T16:31:45.361140374Z,-1.940579,-1.209572,9.546165,2410.625000,621.250000,-1146.250000,10.437500
2021-01-31T16:31:45.377153413Z,-1.561317,-0.924826,10.394422,3263.750000,-323.750000,-1181.250000,10.437500
2021-01-31T16:31:45.393150254Z,-1.643869,-1.123430,9.823733,2371.250000,122.500000,-1015.000000,10.437500
2021-01-31T16:31:45.409141731Z,-1.357927,-1.038485,9.863215,2205.000000,-2213.750000,-1036.875000,10.500000
2021-01-31T16:31:45.425136854Z,-1.623530,-1.457229,9.742377,1872.500000,-424.375000,-1076.250000,10.500000
2021-01-31T16:31:45.441130779Z,-1.562513,-0.903291,9.841680,1575.000000,-1290.625000,-1137.500000,10.562500
2021-01-31T16:31:45.457152880Z,-1.324427,-0.705883,10.820344,1715.000000,-1544.375000,-1089.375000,10.437500
2021-01-31T16:31:45.473148419Z,-1.563709,-0.429512,10.217353,1478.750000,1321.250000,-1159.375000,10.437500
2021-01-31T16:31:45.489144323Z,-1.709672,-0.792024,10.289137,1671.250000,-1671.250000,-1115.625000,10.375000
2021-01-31T16:31:45.505143508Z,-1.554138,-0.941576,10.467402,1907.500000,-56.875000,-1281.875000,10.500000
2021-01-31T16:31:45.521139881Z,-1.706082,-0.428315,10.480563,2108.750000,-1028.125000,-1163.750000,10.500000
2021-01-31T16:31:45.537152764Z,-1.715654,-0.969093,10.492528,2043.125000,-2607.500000,-83.125000,10.562500
2021-01-31T16:31:45.553151168Z,-1.561317,-0.935594,10.424332,2043.125000,-612.500000,-1067.500000,10.500000
2021-01-31T16:31:45.569145665Z,-1.775474,-1.069592,10.019944,2218.125000,-2489.375000,-1076.250000,10.500000
2021-01-31T16:31:45.585145267Z,-1.312463,-1.252643,9.769895,1951.250000,-1863.750000,-936.250000,10.500000
2021-01-31T16:31:45.601141900Z,-1.647458,-0.930808,10.086944,2130.625000,341.250000,-1150.625000,10.562500
2021-01-31T16:31:45.617156970Z,-1.417747,-1.129412,10.377672,1470.000000,-315.000000,-1155.000000,10.500000
2021-01-31T16:31:45.633150999Z,-1.586441,-0.662812,10.250853,1964.375000,266.875000,-1124.375000,10.500000
