time,a_x,a_z,a_y,g_x
2021-01-31T16:27:30.746430411Z,-0.40678,10.205389,-0.631705,2318.75
2021-01-31T16:27:30.762480180Z,-0.512064,10.439885,-1.210768,2384.375
2021-01-31T16:27:30.778496617Z,-0.433101,10.637293,-1.080359,2095.625
2021-01-31T16:27:30.794491648Z,-0.521635,10.529616,-0.862613,2485
2021-01-31T16:27:30.810460585Z,-0.525225,10.145569,-0.95354,1911.875
2021-01-31T16:27:30.826422492Z,-0.459422,10.602598,-0.728615,2738.75
2021-01-31T16:27:30.842385232Z,-0.581456,10.462617,-1.12343,1828.75
2021-01-31T16:27:30.858353493Z,-0.538385,10.479367,-1.0002,1981.875
2021-01-31T16:27:30.874317899Z,-0.552742,10.31187,-0.631705,1881.25
2021-01-31T16:27:30.890281993Z,-0.625723,10.480563,-0.685544,1701.875
2021-01-31T16:27:30.906248223Z,-0.649651,10.436296,-0.652044,2135
2021-01-31T16:27:30.922231118Z,-0.620937,10.644471,-0.915255,1758.75
2021-01-31T16:27:30.938241097Z,-0.666401,10.017551,-0.735793,1811.25
2021-01-31T16:27:30.954237742Z,-0.605384,10.506885,-0.909273,1903.125
2021-01-31T16:27:30.970231679Z,-0.464208,10.26162,-1.142573,1465.625
2021-01-31T16:27:30.986227751Z,-0.556331,10.186246,-1.18684,1833.125
2021-01-31T16:27:31.002226636Z,-0.532403,10.119246,-0.831506,1382.5
2021-01-31T16:27:31.018268333Z,-0.662812,10.350154,-1.068395,1229.375
2021-01-31T16:27:31.034267425Z,-0.533599,10.310673,-0.699901,1146.25
2021-01-31T16:27:31.050264747Z,-0.697508,10.135997,-0.949951,1321.25
2021-01-31T16:27:31.066310245Z,-0.412762,10.393225,-0.571885,1041.25
2021-01-31T16:27:31.082304807Z,-0.535992,10.293922,-0.886541,953.75
2021-01-31T16:27:31.098299421Z,-0.642473,10.314261,-1.150948,910
2021-01-31T16:27:31.114293826Z,-0.564706,9.895518,-0.611366,630
2021-01-31T16:27:31.130282971Z,-0.591027,10.934003,-0.611366,1321.25
2021-01-31T16:27:31.146308626Z,-0.684347,10.003194,-0.617348,1448.125
2021-01-31T16:27:31.162306260Z,-0.561117,10.533205,-1.062413,958.125
2021-01-31T16:27:31.178300301Z,-0.441476,10.053445,-1.183251,1662.5
2021-01-31T16:27:31.194294759Z,-0.418744,10.049855,-1.144966,1251.25
2021-01-31T16:27:31.210379527Z,-0.45344,10.201799,-1.049253,1286.25
2021-01-31T16:27:31.226403254Z,-0.648455,10.127622,-1.113859,1076.25
2021-01-31T16:27:31.242400889Z,-0.534796,10.712667,-0.917647,1198.75
2021-01-31T16:27:31.258405450Z,-0.602991,10.412368,-1.2335,1448.125
2021-01-31T16:27:31.274414386Z,-0.447458,10.091729,-1.287339,1124.375
2021-01-31T16:27:31.290554153Z,-0.398405,10.377672,-1.238286,1071.875
